Timestamp,Load Index,StackTempMbus,StackO2Mbus,SteamPrMbus,SteamTempMbus,Gas Pressure (After PRV),Gas Flow,Fuel flow %,Air flow %,TStack_minus_TSteam
2026-01-30 1:49:00,,204.9,2.9,8.5,177.6,,91.3344574,,,27.3
2026-01-30 1:50:00,66,205.1,3.5,8.6,178,157.2469177,78.21217346,23.20000076,21.39999962,27.1
2026-01-30 1:51:00,64,204.3,3.7,8.6,178.2,156.7760315,73.40553284,22.60000038,19.89999962,26.1
2026-01-30 1:52:00,61,203.2,3.9,8.6,178.2,158.117157,70.97718048,21.70000076,18.70000076,25
2026-01-30 1:53:00,67,201.1,3.9,8.4,177.4,154.2546845,82.55984497,23.60000038,23.20000076,23.7
2026-01-30 1:54:00,,201.4,3.2,8.3,177,,105.3162689,,,24.4
2026-01-30 1:55:00,69,203.3,3.3,8.5,177.8,156.7342987,84.60433197,24.30000114,23.30000114,25.5
2026-01-30 1:56:00,66,203.3,3.6,8.6,178,157.8370209,76.93958282,23,21.10000038,25.3
2026-01-30 1:57:00,62,202.8,3.8,8.6,178.1,157.3244019,72.68370819,22,19,24.7
2026-01-30 1:58:00,72,201.3,3.7,8.4,177.1,154.7374878,90.94642639,25,25.60000038,24.2
2026-01-30 1:59:00,,202,3,8.4,177.1,,105.5749588,,,24.9
2026-01-30 2:00:00,70,203.9,3.3,8.5,177.8,157.4257355,84.80461121,24.39999962,23.39999962,26.1
2026-01-30 2:01:00,66,204,3.6,8.6,178,155.524292,77.3526535,23.10000038,21,26
2026-01-30 2:02:00,63,203.4,3.8,8.6,178.1,156.9131165,73.68508911,22.10000038,19.20000076,25.3
2026-01-30 2:03:00,62,201.6,4.1,8.6,178.2,157.7595367,69.75466156,21.80000114,18.80000114,23.4
2026-01-30 2:04:00,,200.6,4.1,8.5,177.7,,74.75740051,,,22.9
2026-01-30 2:05:00,82,201.4,3,8.3,176.9,153.0804443,111.1868744,28.5,31.10000038,24.5
2026-01-30 2:06:00,74,203.3,3,8.4,177.5,155.5839081,94.12998962,25.89999962,26,25.8
2026-01-30 2:07:00,66,204.1,3.3,8.5,177.8,156.4720306,83.67388153,23.10000038,21,26.3
2026-01-30 2:08:00,64,203.4,3.8,8.6,178.1,157.980072,73.91457367,22.5,19.89999962,25.3
2026-01-30 2:09:00,,202.5,3.9,8.6,178.1,,71.14408112,,,24.4
2026-01-30 2:10:00,,,,,,,,,,
2026-01-30 2:11:00,66,201,3.9,8.4,177.4,157.7475891,80.03970337,23,21.60000038,23.6
2026-01-30 2:12:00,80,201.1,3.2,8.3,176.7,155.142807,108.5248642,27.70000076,29.89999962,24.4
2026-01-30 2:13:00,71,202.8,2.9,8.4,177.3,155.387207,98.34832001,24.70000076,23.89999962,25.5
2026-01-30 2:14:00,67,204.2,3.5,8.5,177.9,156.2634125,78.97989655,23.39999962,21.5,26.3
2026-01-30 2:15:00,,203.7,3.7,8.6,178.1,,74.66978455,,,25.6
2026-01-30 2:16:00,62,201.9,4,8.6,178.2,157.8310547,69.50848389,21.80000114,18.80000114,23.7
2026-01-30 2:17:00,61,200.9,4.2,8.6,178.1,154.8269043,67.90210724,21.39999962,18.5,22.8
2026-01-30 2:18:00,83,200.2,3.8,8.3,177,152.597641,89.96590424,28.60000038,31.60000038,23.2
2026-01-30 2:19:00,76,203.3,2.8,8.4,177.3,154.2368012,97.83927917,26.5,26.89999962,26
2026-01-30 2:20:00,,204.4,3.2,8.5,177.7,,85.50558472,,,26.7
2026-01-30 2:21:00,65,204.1,3.7,8.6,178,157.1932678,75.25392151,22.80000114,20.30000114,26.1
2026-01-30 2:22:00,63,203.3,3.9,8.6,178.1,156.8713989,72.50846863,22.20000076,19.30000114,25.2
2026-01-30 2:23:00,61,202.3,4,8.6,178.2,157.4793701,69.91320801,21.60000038,18.60000038,24.1
2026-01-30 2:24:00,61,200.4,4.2,8.6,178,157.1932678,68.45285797,21.5,18.5,22.4
2026-01-30 2:25:00,,199.8,3.8,8.3,176.9,,93.26629639,,,22.9
2026-01-30 2:26:00,77,202.3,2.8,8.4,177.2,154.2904511,100.5471878,26.89999962,27.70000076,25.1
2026-01-30 2:27:00,71,203.7,3.1,8.5,177.7,156.221695,85.9854126,24.60000038,23.80000114,26
2026-01-30 2:28:00,64,204,3.5,8.5,177.9,156.7640991,78.53762054,22.5,19.80000114,26.1
2026-01-30 2:29:00,62,202.6,3.9,8.6,178.2,157.6403046,70.64338684,21.89999962,18.89999962,24.4
2026-01-30 2:30:00,,201.6,4.1,8.6,178.2,,67.91461945,,,23.4
2026-01-30 2:31:00,59,200.1,4.4,8.6,178.2,156.0428772,65.45706177,21,18,21.9
2026-01-30 2:32:00,65,199.2,4.3,8.4,177.4,152.8420105,78.95069122,22.89999962,21.30000114,21.8
2026-01-30 2:33:00,75,199.6,3.4,8.3,176.7,154.1533661,107.8739624,26,26.60000038,22.9
2026-01-30 2:34:00,69,202.6,3.3,8.5,177.7,157.0680847,83.35260773,24.20000076,23.20000076,24.9
2026-01-30 2:35:00,,202.9,3.6,8.6,177.9,,76.37213135,,,25
2026-01-30 2:36:00,62,201.9,4,8.6,178.1,156.9965668,70.33879852,21.80000114,18.89999962,23.8
2026-01-30 2:37:00,61,201.1,4.1,8.6,178.1,156.3468628,68.49876404,21.5,18.5,23
2026-01-30 2:38:00,72,200.2,4.3,8.6,178.1,154.5348358,67.2261734,25.10000038,25.30000114,22.1
2026-01-30 2:39:00,82,200.6,3,8.3,176.7,152.2936401,111.687561,28.39999962,31.20000076,23.9
2026-01-30 2:40:00,,202.7,2.9,8.4,177.3,,95.23150635,,,25.4
2026-01-30 2:41:00,67,203.9,3.5,8.5,177.9,156.9727173,79.95207977,23.5,22,26
2026-01-30 2:42:00,65,203.5,3.7,8.6,178,156.3110962,74.99523163,22.70000076,20.30000114,25.5
2026-01-30 2:43:00,62,202.8,3.9,8.6,178.1,156.2812958,72.65032196,22,19,24.7
2026-01-30 2:44:00,62,200.9,4.1,8.6,178.1,157.2946014,70.17190552,21.80000114,18.80000114,22.8
2026-01-30 2:45:00,,200.1,4.2,8.5,177.8,,70.32627869,,,22.3
2026-01-30 2:46:00,81,200.5,3.1,8.3,176.8,152.6572418,109.3009415,28.10000038,30.5,23.7
2026-01-30 2:47:00,74,202.4,3,8.4,177.4,156.6150971,94.11330414,25.89999962,26.10000038,25
2026-01-30 2:48:00,66,203.5,3.3,8.5,177.7,156.5435486,83.21909332,23.10000038,21.20000076,25.8
2026-01-30 2:49:00,64,203,3.8,8.6,178,158.3973236,73.74768066,22.5,19.89999962,25
2026-01-30 2:50:00,,202.2,3.9,8.6,178.1,,71.25256348,,,24.1
2026-01-30 2:51:00,,,,,,,,,,
2026-01-30 2:52:00,65,200.8,4,8.4,177.4,155.9355774,77.82413483,22.89999962,21.10000038,23.4
2026-01-30 2:53:00,79,200.8,3.3,8.2,176.6,154.1295013,106.5971985,27.5,29.70000076,24.2
2026-01-30 2:54:00,71,202.5,2.8,8.4,177.2,156.1561279,102.0450897,24.89999962,24.5,25.3
2026-01-30 2:55:00,67,204.4,3.4,8.5,177.9,155.0832062,80.17738342,23.60000038,22,26.5
2026-01-30 2:56:00,,203.9,3.7,8.6,178,,74.79078674,,,25.9
2026-01-30 2:57:00,62,202.5,4,8.6,178.1,157.7237549,71.4695282,22,19.10000038,24.4
2026-01-30 2:58:00,62,201.5,4.1,8.6,178.1,155.9594269,69.9006958,21.80000114,18.80000114,23.4
2026-01-30 2:59:00,65,200.6,4.2,8.6,178.1,157.4376526,69.2039032,22.70000076,20.89999962,22.5
2026-01-30 3:00:00,79,200,3.4,8.3,176.8,153.044693,105.5457535,27.5,29.5,23.2
2026-01-30 3:01:00,,201.7,3.1,8.4,177.4,,92.86991882,,,24.3
2026-01-30 3:02:00,67,202.9,3.6,8.5,177.8,154.7315216,79.3971405,23.5,22,25.1
2026-01-30 3:03:00,65,202.7,3.8,8.6,178,158.5165253,75.4959259,22.80000114,20.60000038,24.7
2026-01-30 3:04:00,63,202.1,3.9,8.6,178,157.2946014,72.61277008,22.20000076,19.10000038,24.1
2026-01-30 3:05:00,72,200.8,3.7,8.3,176.9,155.3633728,92.93250275,25.20000076,26,23.9
2026-01-30 3:06:00,,201.8,2.9,8.2,176.6,,116.7195129,,,25.2
2026-01-30 3:07:00,73,204.9,2.9,8.5,177.5,154.1473999,92.02708435,25.60000038,25.5,27.4
2026-01-30 3:08:00,69,205.4,3.3,8.5,177.8,155.1964569,83.14398193,24,22.89999962,27.6
2026-01-30 3:09:00,64,205,3.6,8.6,178,157.0025177,77.31510162,22.60000038,20.10000038,27
2026-01-30 3:10:00,63,203.2,3.9,8.6,178.1,158.3317413,72.20387268,22.20000076,19.5,25.1
2026-01-30 3:11:00,,202.2,4,8.6,178.1,,71.00222015,,,24.1
2026-01-30 3:12:00,73,200.9,3.7,8.3,176.9,153.515564,94.21343994,25.5,26.39999962,24
2026-01-30 3:13:00,84,202,2.8,8.3,176.7,154.7076874,116.0143814,29.10000038,32.5,25.3
2026-01-30 3:14:00,71,204.1,2.8,8.4,177.3,156.2276459,98.39421082,24.70000076,24,26.8
2026-01-30 3:15:00,67,205.2,3.5,8.5,177.9,156.7104645,79.79769135,23.5,22,27.3
2026-01-30 3:16:00,,204.6,3.7,8.6,178,,75.91316986,,,26.6
2026-01-30 3:17:00,63,202.8,4,8.6,178.1,155.8282776,71.64894867,22.10000038,19.30000114,24.7
2026-01-30 3:18:00,63,201.8,4.1,8.6,178,153.0685272,70.86452484,22,19,23.8
2026-01-30 3:19:00,84,201.1,3.7,8.3,176.9,153.1698608,94.07157898,29,32.29999924,24.2
2026-01-30 3:20:00,76,204.2,2.8,8.4,177.3,155.9653931,98.99086761,26.60000038,27.30000114,26.9
2026-01-30 3:21:00,,205.4,3.1,8.5,177.8,,86.38596344,,,27.6
2026-01-30 3:22:00,,,,,,,,,,
2026-01-30 3:23:00,65,204.7,3.7,8.6,178.1,158.05159,75.57102203,22.70000076,20.5,26.6
2026-01-30 3:24:00,63,203.8,3.9,8.6,178.2,157.1515503,72.48760223,22.30000114,19.60000038,25.6
2026-01-30 3:25:00,64,202.7,4,8.6,178.2,156.4124298,70.77690125,22.5,20.39999962,24.5
2026-01-30 3:26:00,78,201.4,3.4,8.3,176.7,155.1845398,103.7975082,27.10000038,29.10000038,24.7
2026-01-30 3:27:00,,203,2.8,8.4,177.1,,105.9922028,,,25.9
2026-01-30 3:28:00,69,204.9,3.3,8.5,177.8,156.6687317,84.67527008,24.30000114,23.30000114,27.1
2026-01-30 3:29:00,66,204.8,3.6,8.6,178,155.3037415,78.16628265,23.20000076,21.20000076,26.8
